Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location,Street Direction,Street Number,Street Name,Street Type
14725 Kercheval,21000840.,Rickman Enterprise Group,9090.00,Non-HHF,09/23/2015,Yes,4,Riverbend,42.380171,-82.944676,"location
(42.380171, -82.944676)",,14725,KERCHEVAL,St
12000 Westwood,22089417.018,"Adamo Group, Inc.",16512.00,HHF,09/23/2015,No,7,Weatherby,42.374304,-83.231119,"location
(42.374304, -83.231119)",,12000,WESTWOOD,
17603 Trinity,22108688.,"Adamo Group, Inc.",22407.00,HHF,09/23/2015,No,1,Holcomb Community,42.420398,-83.249959,"location
(42.420398, -83.249959)",,17603,TRINITY,St
16210 Kentucky,16036556.,Homrich,23300.00,HHF,09/23/2015,No,2,Fitzgerald/Marygrove,42.411357,-83.158692,"location
(42.411357, -83.158692)",,16210,KENTUCKY,St
13989 Westwood,22089993.,"Adamo Group, Inc.",21051.00,HHF,09/23/2015,No,1,Westwood Park,42.387713,-83.232394,"location
(42.387713, -83.232394)",,13989,WESTWOOD,St
7515 W Warren,18003536-7,Dore & Associates,53000.00,Non-HHF,09/23/2015,Yes,6,Claytown,42.344508,-83.144036,"location
(42.344508, -83.144036)",W,7515,WARREN,Ave
16854 Salem,22124271.,Able Demolition,11142.83,Non-HHF,09/22/2015,No,1,South of Six,42.412648,-83.284665,"location
(42.412648, -83.284665)",,16854,SALEM,St
8682 Trinity,22108305.,"Adamo Group, Inc.",14527.00,HHF,09/22/2015,No,7,Warrendale,42.356739,-83.246509,"location
(42.356739, -83.246509)",,8682,TRINITY,St
2402 Lawley,09006022.,Homrich,23200.00,HHF,09/22/2015,No,3,Campau/Banglatown,42.409109,-83.07159,"location
(42.409109, -83.07159)",,2402,LAWLEY,St
8444 Woodward Avenue,01004327.002L,Dore & Associates,9000.00,Non-HHF,09/22/2015,Yes,5,North End,42.37796,-83.078018,"location
(42.37796, -83.078018)",,8444,WOODWARD AVENUE,Ave
8044 Warwick,22085802.,"Adamo Group, Inc.",15390.00,HHF,09/22/2015,No,7,Warrendale,42.351153,-83.226845,"location
(42.351153, -83.226845)",,8044,WARWICK,St
3911 Sobieski,13006591.,Homrich,19600.00,HHF,09/22/2015,No,3,Buffalo Charles,42.410291,-83.055611,"location
(42.410291, -83.055611)",,3911,SOBIESKI,St
8108 Warwick,22085810.,"Adamo Group, Inc.",16884.00,HHF,09/22/2015,No,7,Warrendale,42.352031,-83.226883,"location
(42.352031, -83.226883)",,8108,WARWICK,St
15467 Hubbell,22039967-8,Rickman Enterprise Group,9720.00,Non-HHF,09/22/2015,No,1,Belmont,42.404625,-83.189333,"location
(42.404625, -83.189333)",,15467,HUBBELL,St
6528 Woodmont,22062404.,"Adamo Group, Inc.",17459.00,HHF,09/22/2015,No,7,Warren Ave Community,42.339551,-83.206866,"location
(42.339551, -83.206866)",,6528,WOODMONT,Ave
19750 Trinity,22108646.045,"Adamo Group, Inc.",15549.00,HHF,09/22/2015,No,1,Evergreen Lahser 7/8,42.435504,-83.249712,"location
(42.435504, -83.249712)",,19750,TRINITY,St
7779 Woodmont,22063037.,"Adamo Group, Inc.",16829.00,HHF,09/22/2015,No,7,Warren Ave Community,42.349418,-83.207457,"location
(42.349418, -83.207457)",,7779,WOODMONT,Ave
3342 Clements,12004564.,Rickman Enterprise Group,22220.00,HHF,09/22/2015,No,7,Oakman Blvd Community,42.391127,-83.130658,"location
(42.391127, -83.130658)",,3342,CLEMENTS,St
6833 Warwick,22086736.,"Adamo Group, Inc.",17238.00,HHF,09/22/2015,No,7,Warrendale,42.341521,-83.227122,"location
(42.341521, -83.227122)",,6833,WARWICK,St
15922 Dexter,12010697.,Rickman Enterprise Group,22250.00,HHF,09/22/2015,No,2,Pilgrim Village,42.409518,-83.136255,"location
(42.409518, -83.136255)",,15922,DEXTER,Ave
8035 Warwick,22086668.,"Adamo Group, Inc.",15484.00,HHF,09/22/2015,No,7,Warrendale,42.351035,-83.227503,"location
(42.351035, -83.227503)",,8035,WARWICK,St
19461 Sunderland Rd,22084952.008,"Adamo Group, Inc.",12949.00,HHF,09/22/2015,No,1,O'Hair Park,42.43434,-83.229612,"location
(42.43434, -83.229612)",,19461,SUNDERLAND RD,Rd
15890 Dexter,12010692.,Rickman Enterprise Group,22150.00,HHF,09/22/2015,No,2,Pilgrim Village,42.409106,-83.136238,"location
(42.409106, -83.136238)",,15890,DEXTER,Ave
4011 Clements,14005523.,Rickman Enterprise Group,22170.00,HHF,09/22/2015,No,7,Oakman Blvd Community,42.389334,-83.133988,"location
(42.389334, -83.133988)",,4011,CLEMENTS,St
16175 Woodingham,16028881.,Jenkins Construction,8900.00,HHF,09/22/2015,No,2,Fitzgerald/Marygrove,42.410944,-83.150106,"location
(42.410944, -83.150106)",,16175,WOODINGHAM,Dr
14447 Tacoma,21023820.,"313 Construction, LLC",8929.58,HHF,09/22/2015,No,3,Franklin,42.441883,-82.97461,"location
(42.441883, -82.97461)",,14447,TACOMA,St
15147 Pierson,22106960.,Able Demolition,8383.00,Non-HHF,09/22/2015,No,1,Brightmoor,42.400068,-83.246233,"location
(42.400068, -83.246233)",,15147,PIERSON,St
7233 St Marys,22059468.,"Adamo Group, Inc.",11479.00,HHF,09/22/2015,No,7,Warren Ave Community,42.344175,-83.203947,"location
(42.344175, -83.203947)",,7233,ST MARYS,St
5274 Oregon,16002743.,Able Demolition,10630.25,Non-HHF,09/22/2015,No,6,Midwest,42.356111,-83.125604,"location
(42.356111, -83.125604)",,5274,OREGON,St
3337 W Eight Mile,02006202.,Timesavers Contracting,13726.00,Non-HHF,09/22/2015,No,2,Green Acres,42.445886,-83.13623,"location
(42.445886, -83.13623)",W,3337,EIGHT MILE,Rd
3830 Sylvan,14001051.,"Adamo Group, Inc.",11992.00,HHF,09/22/2015,No,6,Chadsey Condon,42.344281,-83.104623,"location
(42.344281, -83.104623)",,3830,SYLVAN,St
3280 Clements,12004573.,Rickman Enterprise Group,22190.00,HHF,09/22/2015,No,7,Oakman Blvd Community,42.391518,-83.129599,"location
(42.391518, -83.129599)",,3280,CLEMENTS,St
6338 Warwick,22085691.,"Adamo Group, Inc.",16068.00,HHF,09/22/2015,No,7,Warrendale,42.336601,-83.226311,"location
(42.336601, -83.226311)",,6338,WARWICK,St
6430 Vinewood,12010316.,Able Demolition,17003.35,Non-HHF,09/22/2015,No,5,Midwest,42.351542,-83.108477,"location
(42.351542, -83.108477)",,6430,VINEWOOD,St
3350 Clements,12004563.,Rickman Enterprise Group,22230.00,HHF,09/22/2015,No,7,Oakman Blvd Community,42.391083,-83.130777,"location
(42.391083, -83.130777)",,3350,CLEMENTS,St
13184 Moran,09008948.,Homrich,20300.00,HHF,09/22/2015,No,3,Campau/Banglatown,42.414164,-83.06138,"location
(42.414164, -83.06138)",,13184,MORAN,St
5141 Garvin,13006778.001,Homrich,13700.00,HHF,09/22/2015,No,3,Buffalo Charles,42.41116,-83.049715,"location
(42.41116, -83.049715)",,5141,GARVIN,St
12053 Archdale,22072020.,"Adamo Group, Inc.",16653.00,HHF,09/21/2015,No,7,Plymouth-I96,42.375267,-83.216108,"location
(42.375267, -83.216108)",,12053,ARCHDALE,St
2936 Mcpherson,09005263.,Homrich,18600.00,HHF,09/21/2015,No,3,Campau/Banglatown,42.407103,-83.063811,"location
(42.407103, -83.063811)",,2936,MCPHERSON,St
13526 Westwood,22089431.,"Adamo Group, Inc.",13752.00,HHF,09/21/2015,No,1,Schoolcraft Southfield,42.384519,-83.23154,"location
(42.384519, -83.23154)",,13526,WESTWOOD,St
2925 Halleck,09005640.,Homrich,19700.00,HHF,09/21/2015,No,3,Campau/Banglatown,42.408694,-83.065143,"location
(42.408694, -83.065143)",,2925,HALLECK,St
2420 Meade,09005810.,Homrich,17100.00,HHF,09/21/2015,No,3,Campau/Banglatown,42.407921,-83.070427,"location
(42.407921, -83.070427)",,2420,MEADE,St
13431 E State Fair,21024351.,"313 Construction, LLC",14413.18,HHF,09/21/2015,No,3,Conner Creek,42.442391,-82.987195,"location
(42.442391, -82.987195)",E,13431,STATE FAIR,St
12061 Archdale,22072019.,"Adamo Group, Inc.",15749.00,HHF,09/21/2015,No,7,Plymouth-I96,42.375363,-83.216111,"location
(42.375363, -83.216111)",,12061,ARCHDALE,St
8126 Goethe,17008640.,Farrow Group,34500.00,Non-HHF,09/21/2015,No,5,Islandview,42.365519,-83.002887,"location
(42.365519, -83.002887)",,8126,GOETHE,Ave
4435 Cicotte,18010491.,"Adamo Group, Inc.",22254.00,HHF,09/21/2015,No,6,Claytown,42.332846,-83.125022,"location
(42.332846, -83.125022)",,4435,CICOTTE,St
6907 Westwood,22090280.,"Adamo Group, Inc.",17589.00,HHF,09/21/2015,No,7,Warrendale,42.342486,-83.230779,"location
(42.342486, -83.230779)",,6907,WESTWOOD,
13515 Westwood,22090028.001,"Adamo Group, Inc.",13095.00,HHF,09/21/2015,No,1,Schoolcraft Southfield,42.384336,-83.232282,"location
(42.384336, -83.232282)",,13515,WESTWOOD,St
2420 Mcpherson,09005278.,Homrich,22000.00,HHF,09/21/2015,No,3,Campau/Banglatown,42.405343,-83.068704,"location
(42.405343, -83.068704)",,2420,MCPHERSON,St
6768 Westwood,22089189.,"Adamo Group, Inc.",16303.00,HHF,09/21/2015,No,7,Warrendale,42.340583,-83.230048,"location
(42.340583, -83.230048)",,6768,WESTWOOD,
6914 Westwood,22089210.,"Adamo Group, Inc.",19469.00,HHF,09/21/2015,No,7,Warrendale,42.3426,-83.230116,"location
(42.3426, -83.230116)",,6914,WESTWOOD,
9200 Coyle,22044664.,"Adamo Group, Inc.",15494.00,HHF,09/21/2015,No,7,We Care Community,42.362103,-83.192551,"location
(42.362103, -83.192551)",,9200,COYLE,St
19231 Danbury,01009218.,RDC Construction Services,6126.00,Non-HHF,09/19/2015,No,2,Penrose,42.434117,-83.106577,"location
(42.434117, -83.106577)",,19231,DANBURY,St
3955 Mt Elliott,13009860-1,Homrich,22100.00,HHF,09/18/2015,No,5,McDougall-Hunt,42.363939,-83.023734,"location
(42.363939, -83.023734)",,3955,MT ELLIOTT,St
15914 Chapel,22111355.,Rickman Enterprise Group,22230.00,HHF,09/18/2015,No,1,Brightmoor,42.407448,-83.253158,"location
(42.407448, -83.253158)",,15914,CHAPEL,St
