Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location,Street Direction,Street Number,Street Name,Street Type
8111 Alpine,16025158.,Able Demolition,15858.80,HHF,12/06/2018,No,6,Midwest,42.353703,-83.147479,"location
(42.353703, -83.147479)",,8111,ALPINE,St
2510 Elmhurst,10003356.,Homrich,19646.37,HHF,12/06/2018,No,5,Dexter-Linwood,42.385235,-83.114938,"location
(42.385235, -83.114938)",,2510,ELMHURST,St
8450 Trinity,22108286.,Rickman Enterprise Group,21643.61,HHF,12/06/2018,No,7,Warrendale,42.354515,-83.246408,"location
(42.354515, -83.246408)",,8450,TRINITY,St
14835 Prest,22049210.002L,DMC Consultants,21950.00,Non-HHF,12/06/2018,No,1,Hubbell-Lyndon,42.397284,-83.197696,"location
(42.397284, -83.197696)",,14835,PREST,St
8444 Trinity,22108285.,Rickman Enterprise Group,22118.61,HHF,12/06/2018,No,7,Warrendale,42.354405,-83.246403,"location
(42.354405, -83.246403)",,8444,TRINITY,St
7276 Forrer,22053620.,Salenbien Trucking & Excavating Inc.,10280.25,HHF,12/06/2018,No,7,Warren Ave Community,42.344803,-83.19964,"location
(42.344803, -83.19964)",,7276,FORRER,St
12745 Corbett,21007024.,McDonagh Demolition Inc.,14822.41,HHF,12/05/2018,No,4,Wade,42.406087,-82.977804,"location
(42.406087, -82.977804)",,12745,CORBETT,Ave
8294 Trinity,22108276.,Rickman Enterprise Group,18610.61,HHF,12/05/2018,No,7,Warrendale,42.353275,-83.246353,"location
(42.353275, -83.246353)",,8294,TRINITY,St
13716 Keal,22004785.,Salenbien Trucking & Excavating Inc.,12897.25,HHF,12/05/2018,No,7,Plymouth-Hubbell,42.37021,-83.179474,"location
(42.37021, -83.179474)",,13716,KEAL,St
12614 Corbett,21006835.,McDonagh Demolition Inc.,26785.41,HHF,12/05/2018,No,4,Wade,42.40513,-82.979042,"location
(42.40513, -82.979042)",,12614,CORBETT,Ave
13686 Castleton,22006425.,Salenbien Trucking & Excavating Inc.,17268.25,HHF,12/05/2018,No,7,Paveway,42.376452,-83.179942,"location
(42.376452, -83.179942)",,13686,CASTLETON,St
12622 Corbett,21006834.,McDonagh Demolition Inc.,26470.41,HHF,12/05/2018,No,4,Wade,42.405177,-82.978908,"location
(42.405177, -82.978908)",,12622,CORBETT,Ave
13539 Maine,09012779.,DMC Consultants,20735.00,Non-HHF,12/05/2018,No,3,North Campau,42.41391,-83.071914,"location
(42.41391, -83.071914)",,13539,MAINE,St
3977 Lemay,21041719-20,"Adamo Group, Inc.",32000.00,Non-HHF,12/05/2018,No,4,West End,42.37934,-82.984627,"location
(42.37934, -82.984627)",,3977,LEMAY,Ave
8410 Trinity,22108281.,Rickman Enterprise Group,18810.61,HHF,12/05/2018,No,7,Warrendale,42.353966,-83.246382,"location
(42.353966, -83.246382)",,8410,TRINITY,St
2967 Elmhurst,12003585.,Homrich,34931.37,HHF,12/05/2018,No,5,Dexter-Linwood,42.382723,-83.120042,"location
(42.382723, -83.120042)",,2967,ELMHURST,St
5653 Proctor,18012801.,Able Demolition,16769.14,HHF,12/05/2018,No,6,Claytown,42.336755,-83.139938,"location
(42.336755, -83.139938)",,5653,PROCTOR,St
11635 Hartwell,22029358.,Salenbien Trucking & Excavating Inc.,20773.25,HHF,12/05/2018,No,7,Pride Area Community,42.373613,-83.177125,"location
(42.373613, -83.177125)",,11635,HARTWELL,St
13731 Keal,22004745.,Salenbien Trucking & Excavating Inc.,14041.25,HHF,12/05/2018,No,7,Plymouth-Hubbell,42.369718,-83.179725,"location
(42.369718, -83.179725)",,13731,KEAL,St
14269 Northlawn,16032402.,DMC Consultants,27850.00,Non-HHF,12/04/2018,No,7,Davison-Schoolcraft,42.392845,-83.153511,"location
(42.392845, -83.153511)",,14269,NORTHLAWN,St
2731 Tuxedo,10003247.,Homrich,32548.00,HHF,12/04/2018,No,5,Dexter-Linwood,42.382574,-83.117774,"location
(42.382574, -83.117774)",,2731,TUXEDO,St
1701 Lawrence,06002965.,Homrich,34633.38,HHF,12/04/2018,No,5,Dexter-Linwood,42.384731,-83.103813,"location
(42.384731, -83.103813)",,1701,LAWRENCE,St
1726 Victor,09006586.,DMC Consultants,12998.00,HHF,12/04/2018,No,3,North Campau,42.41228,-83.080882,"location
(42.41228, -83.080882)",,1726,VICTOR,St
9930 Appoline,22020864.002L,Salenbien Trucking & Excavating Inc.,17666.25,HHF,12/04/2018,No,7,Barton-McFarland,42.369006,-83.168879,"location
(42.369006, -83.168879)",,9930,APPOLINE,
2494 Elmhurst,10003358.,Homrich,39303.38,HHF,12/04/2018,No,5,Dexter-Linwood,42.385328,-83.114685,"location
(42.385328, -83.114685)",,2494,ELMHURST,St
8049 Alpine,16025167.,Able Demolition,15402.30,HHF,12/04/2018,No,6,Midwest,42.352682,-83.147401,"location
(42.352682, -83.147401)",,8049,ALPINE,St
8884 N Clarendon,14007434.,Rickman Enterprise Group,26114.00,Non-HHF,12/04/2018,No,5,Petoskey-Otsego,42.364602,-83.125021,"location
(42.364602, -83.125021)",N,8884,CLARENDON,St
6313 30th St,16010743.,"Adamo Group, Inc.",42800.00,Non-HHF,12/04/2018,No,6,Midwest,42.350138,-83.116868,"location
(42.350138, -83.116868)",,6313,30TH ST,St
14039 Orleans,09018257.,Rickman Enterprise Group,17972.00,Non-HHF,12/04/2018,No,3,North Campau,42.413043,-83.081292,"location
(42.413043, -83.081292)",,14039,ORLEANS,St
6120 Central,20004765.,Able Demolition,19831.84,HHF,12/04/2018,No,6,Claytown,42.340327,-83.14411,"location
(42.340327, -83.14411)",,6120,CENTRAL,St
8055 Alpine,16025166.,Able Demolition,15439.40,HHF,12/04/2018,No,6,Midwest,42.352778,-83.147406,"location
(42.352778, -83.147406)",,8055,ALPINE,St
9344 Mendota,18017167.,Salenbien Trucking & Excavating Inc.,24545.25,HHF,12/04/2018,No,7,Barton-McFarland,42.364607,-83.163922,"location
(42.364607, -83.163922)",,9344,MENDOTA,St
2226 Taylor,10002356.,"Adamo Group, Inc.",50800.00,Non-HHF,12/04/2018,No,5,North LaSalle,42.374319,-83.103085,"location
(42.374319, -83.103085)",,2226,TAYLOR,St
1709 Lawrence,06002966.,Homrich,26508.38,HHF,12/04/2018,No,5,Dexter-Linwood,42.384689,-83.103929,"location
(42.384689, -83.103929)",,1709,LAWRENCE,St
13625 Allonby,22006491.,Salenbien Trucking & Excavating Inc.,14121.25,HHF,12/04/2018,No,7,Paveway,42.377573,-83.178843,"location
(42.377573, -83.178843)",,13625,ALLONBY,St
8106 Smart,20009749.,Able Demolition,16288.72,HHF,12/04/2018,No,6,Claytown,42.338443,-83.148598,"location
(42.338443, -83.148598)",,8106,SMART,St
3979 St Clair,21038965.,"Adamo Group, Inc.",25750.00,Non-HHF,12/04/2018,No,4,West End,42.378888,-82.989295,"location
(42.378888, -82.989295)",,3979,ST CLAIR,St
11708 Kentucky,18015712.,Salenbien Trucking & Excavating Inc.,15327.25,HHF,12/04/2018,No,7,Grand River-I96,42.37508,-83.157229,"location
(42.37508, -83.157229)",,11708,KENTUCKY,St
13151 Camden,21005954.,Salenbien Trucking & Excavating Inc.,12387.13,HHF,12/03/2018,No,4,Outer Drive-Hayes,42.405426,-82.971891,"location
(42.405426, -82.971891)",,13151,CAMDEN,Ave
8410 Burt Rd,22107308.,Rickman Enterprise Group,14784.61,HHF,12/03/2018,No,7,Warrendale,42.353994,-83.245171,"location
(42.353994, -83.245171)",,8410,BURT RD,Rd
7139 Chicago,16004758-66,"Adamo Group, Inc.",75000.00,Non-HHF,12/03/2018,Yes,6,Midwest,42.360142,-83.14364,"location
(42.360142, -83.14364)",,7139,CHICAGO,St
15007 Lannette,21010313.,Salenbien Trucking & Excavating Inc.,11247.13,HHF,12/03/2018,No,4,Outer Drive-Hayes,42.417776,-82.965119,"location
(42.417776, -82.965119)",,15007,LANNETTE,St
12050 Kentucky,16036301.,Salenbien Trucking & Excavating Inc.,22393.75,HHF,12/03/2018,No,7,Littlefield Community,42.377109,-83.157409,"location
(42.377109, -83.157409)",,12050,KENTUCKY,St
20495 Keating,09023954.,"Adamo Group, Inc.",19100.00,Non-HHF,12/03/2018,No,3,Nolan,42.445967,-83.10099,"location
(42.445967, -83.10099)",,20495,KEATING,St
11039 Cloverlawn,16031557.,Salenbien Trucking & Excavating Inc.,30554.75,HHF,12/03/2018,No,7,Littlefield Community,42.374453,-83.151786,"location
(42.374453, -83.151786)",,11039,CLOVERLAWN,St
8102 Trinity,22108263.,Rickman Enterprise Group,17399.61,HHF,12/03/2018,No,7,Warrendale,42.351689,-83.24628,"location
(42.351689, -83.24628)",,8102,TRINITY,St
3930 15th St,10005487.001,Blue Star,16825.00,HHF,12/03/2018,No,6,Core City,42.342323,-83.083793,"location
(42.342323, -83.083793)",,3930,15TH ST,St
6191 Radnor,21078357.,DMC Consultants,13049.00,HHF,12/03/2018,No,4,Cornerstone Village,42.419478,-82.925045,"location
(42.419478, -82.925045)",,6191,RADNOR,St
5647 Proctor,18012802.,Able Demolition,17456.14,HHF,12/03/2018,No,6,Claytown,42.336682,-83.139885,"location
(42.336682, -83.139885)",,5647,PROCTOR,St
1200 Calvert,06002802.,Homrich,15999.36,HHF,12/03/2018,No,5,Gateway Community,42.385636,-83.097162,"location
(42.385636, -83.097162)",,1200,CALVERT,St
9900 Appoline,22020863.001,Salenbien Trucking & Excavating Inc.,12302.25,HHF,12/03/2018,No,7,Barton-McFarland,42.368646,-83.168863,"location
(42.368646, -83.168863)",,9900,APPOLINE,
2350 Elmhurst,08003553.,Homrich,44989.38,HHF,12/03/2018,No,5,Dexter-Linwood,42.386181,-83.1124,"location
(42.386181, -83.1124)",,2350,ELMHURST,St
2956 Tuxedo,12003569.,Homrich,24677.37,HHF,12/03/2018,No,5,Dexter-Linwood,42.382437,-83.119641,"location
(42.382437, -83.119641)",,2956,TUXEDO,St
20489 Keating,09023955.,"Adamo Group, Inc.",27450.00,Non-HHF,12/03/2018,No,3,Nolan,42.445871,-83.100986,"location
(42.445871, -83.100986)",,20489,KEATING,St
8049 Burt Rd,22108249.,Rickman Enterprise Group,18103.61,HHF,12/03/2018,No,7,Warrendale,42.350943,-83.245735,"location
(42.350943, -83.245735)",,8049,BURT RD,Rd
13953 Steel,22022997.,DMC Consultants,28450.00,Non-HHF,12/03/2018,No,7,Happy Homes,42.389004,-83.171266,"location
(42.389004, -83.171266)",,13953,STEEL,St
13446 Longview,21007493.,Salenbien Trucking & Excavating Inc.,21731.13,HHF,11/30/2018,No,4,Outer Drive-Hayes,42.409913,-82.97136,"location
(42.409913, -82.97136)",,13446,LONGVIEW,St
6114 Central,20004764.,Able Demolition,19368.14,HHF,11/30/2018,No,6,Claytown,42.340255,-83.144057,"location
(42.340255, -83.144057)",,6114,CENTRAL,St
13961 Steel,22022996.,DMC Consultants,27850.00,Non-HHF,11/30/2018,No,7,Happy Homes,42.3891,-83.171271,"location
(42.3891, -83.171271)",,13961,STEEL,St
15005 Glenfield,21010787.,Salenbien Trucking & Excavating Inc.,11742.13,HHF,11/30/2018,No,4,Outer Drive-Hayes,42.418616,-82.965298,"location
(42.418616, -82.965298)",,15005,GLENFIELD,Ave
5804 Beaconsfield,21065738.,Salenbien Trucking & Excavating Inc.,36279.00,HHF,11/30/2018,No,4,Morningside,42.405156,-82.953722,"location
(42.405156, -82.953722)",,5804,BEACONSFIELD,St
5769 Radnor,21078390.,DMC Consultants,16924.00,HHF,11/30/2018,No,4,Cornerstone Village,42.415926,-82.922726,"location
(42.415926, -82.922726)",,5769,RADNOR,St
8285 Burt Rd,22108230.,Rickman Enterprise Group,17934.61,HHF,11/29/2018,No,7,Warrendale,42.353187,-83.245839,"location
(42.353187, -83.245839)",,8285,BURT RD,Rd
881 Collingwood,04002907.,Homrich,22412.35,HHF,11/29/2018,No,5,Gateway Community,42.387253,-83.094098,"location
(42.387253, -83.094098)",,881,COLLINGWOOD,St
5220 Radnor,21078256.,DMC Consultants,12552.00,HHF,11/29/2018,No,4,Cornerstone Village,42.412314,-82.919583,"location
(42.412314, -82.919583)",,5220,RADNOR,St
1419 Collingwood,06002828.,Homrich,33962.36,HHF,11/29/2018,No,5,Gateway Community,42.385507,-83.098891,"location
(42.385507, -83.098891)",,1419,COLLINGWOOD,St
14711 Kilbourne,21010192.,Salenbien Trucking & Excavating Inc.,14676.13,HHF,11/29/2018,No,4,Outer Drive-Hayes,42.416909,-82.969775,"location
(42.416909, -82.969775)",,14711,KILBOURNE,Ave
10163 Cedarlawn,18006555.,Able Demolition,33327.00,Non-HHF,11/29/2018,No,7,Barton-McFarland,42.372437,-83.16172,"location
(42.372437, -83.16172)",,10163,CEDARLAWN,St
8255 Burt Rd,22108234.,Rickman Enterprise Group,25176.61,HHF,11/29/2018,No,7,Warrendale,42.352748,-83.245818,"location
(42.352748, -83.245818)",,8255,BURT RD,Rd
18212 Lauder,22042041.,Dore & Associates,30000.00,Non-HHF,11/29/2018,No,2,Winship,42.423728,-83.191911,"location
(42.423728, -83.191911)",,18212,LAUDER,St
20844 Tireman,22001579-81,Rickman Enterprise Group,15569.61,HHF,11/29/2018,No,7,Warrendale,42.350399,-83.245157,"location
(42.350399, -83.245157)",,20844,TIREMAN,St
887 Collingwood,04002908.,Homrich,22003.35,HHF,11/29/2018,No,5,Gateway Community,42.387202,-83.094235,"location
(42.387202, -83.094235)",,887,COLLINGWOOD,St
9721 Hayes,21056728-9,Salenbien Trucking & Excavating Inc.,16187.13,HHF,11/29/2018,No,4,Outer Drive-Hayes,42.410695,-82.964969,"location
(42.410695, -82.964969)",,9721,HAYES,St
5024 Maryland,21064241.,Salenbien Trucking & Excavating Inc.,20926.80,HHF,11/29/2018,No,4,Morningside,42.398329,-82.952542,"location
(42.398329, -82.952542)",,5024,MARYLAND,St
5314 University Pl,21077354.,DMC Consultants,15809.00,HHF,11/29/2018,No,4,Cornerstone Village,42.412103,-82.924204,"location
(42.412103, -82.924204)",,5314,UNIVERSITY PL,Pl
1428 Calvert,06002791.,Homrich,23164.36,HHF,11/29/2018,No,5,Gateway Community,42.385055,-83.098784,"location
(42.385055, -83.098784)",,1428,CALVERT,St
5129 Casper,20006950.,Able Demolition,17516.94,HHF,11/28/2018,No,6,Claytown,42.332687,-83.140139,"location
(42.332687, -83.140139)",,5129,CASPER,St
851 Collingwood,04002903.,Homrich,28787.35,HHF,11/28/2018,No,5,Gateway Community,42.387455,-83.093556,"location
(42.387455, -83.093556)",,851,COLLINGWOOD,St
3059 Sheridan,17013320.,Salenbien Trucking & Excavating Inc.,19531.35,HHF,11/28/2018,No,5,Islandview,42.36302,-83.009412,"location
(42.36302, -83.009412)",,3059,SHERIDAN,St
17357 Charest,09010187.,DMC Consultants,16277.00,HHF,11/28/2018,No,3,Cadillac Heights,42.421997,-83.070281,"location
(42.421997, -83.070281)",,17357,CHAREST,St
13417 Corbett,21007071.,Salenbien Trucking & Excavating Inc.,26252.10,HHF,11/28/2018,No,4,Outer Drive-Hayes,42.408412,-82.971042,"location
(42.408412, -82.971042)",,13417,CORBETT,Ave
14243 Kilbourne,21010170.,Salenbien Trucking & Excavating Inc.,17591.13,HHF,11/28/2018,No,4,Eden Gardens,42.416354,-82.974332,"location
(42.416354, -82.974332)",,14243,KILBOURNE,Ave
20403 Omira,09022871.,DMC Consultants,29405.00,HHF,11/28/2018,No,3,Nolan,42.4448,-83.096656,"location
(42.4448, -83.096656)",,20403,OMIRA,St
8100 Braile,22104964.006L,Rickman Enterprise Group,24255.61,HHF,11/28/2018,No,7,Warrendale,42.351755,-83.24269,"location
(42.351755, -83.24269)",,8100,BRAILE,St
8046 Smart,20009759.,Able Demolition,17422.14,HHF,11/28/2018,No,6,Claytown,42.33883,-83.147619,"location
(42.33883, -83.147619)",,8046,SMART,St
8600 Patton,22103638.,Rickman Enterprise Group,13236.62,HHF,11/28/2018,No,7,Warrendale,42.355737,-83.241606,"location
(42.355737, -83.241606)",,8600,PATTON,St
8426 Patton,22103625.,Rickman Enterprise Group,14455.61,HHF,11/28/2018,No,7,Warrendale,42.354283,-83.241556,"location
(42.354283, -83.241556)",,8426,PATTON,St
14314 Maiden,21006374.,Salenbien Trucking & Excavating Inc.,22381.63,HHF,11/27/2018,No,4,Outer Drive-Hayes,42.408163,-82.967553,"location
(42.408163, -82.967553)",,14314,MAIDEN,St
7358 Plainview,22093612.,Rickman Enterprise Group,15187.61,HHF,11/27/2018,No,7,Warrendale,42.345472,-83.23389,"location
(42.345472, -83.23389)",,7358,PLAINVIEW,Ave
4371 Lumley,20008746-7,Able Demolition,22443.14,HHF,11/27/2018,No,6,Claytown,42.326646,-83.138186,"location
(42.326646, -83.138186)",,4371,LUMLEY,St
14829 Glenfield,21010767.,Salenbien Trucking & Excavating Inc.,16745.13,HHF,11/27/2018,No,4,Outer Drive-Hayes,42.418583,-82.96823,"location
(42.418583, -82.96823)",,14829,GLENFIELD,Ave
7369 Plainview,22094790.,Rickman Enterprise Group,14686.61,HHF,11/27/2018,No,7,Warrendale,42.345592,-83.234587,"location
(42.345592, -83.234587)",,7369,PLAINVIEW,Ave
8208 Kirkwood,20009565.,Able Demolition,16324.92,HHF,11/27/2018,No,6,Claytown,42.337633,-83.148385,"location
(42.337633, -83.148385)",,8208,KIRKWOOD,St
8047 Dayton,20009820.,Able Demolition,15768.12,HHF,11/27/2018,No,6,Claytown,42.339143,-83.147838,"location
(42.339143, -83.147838)",,8047,DAYTON,St
942 Glynn Ct,04002768.,Homrich,24344.35,HHF,11/27/2018,No,5,Gateway Community,42.385692,-83.094311,"location
(42.385692, -83.094311)",,942,GLYNN CT,Ct
14919 Corbett,21007097.,Salenbien Trucking & Excavating Inc.,21065.13,HHF,11/27/2018,No,4,Outer Drive-Hayes,42.409632,-82.966063,"location
(42.409632, -82.966063)",,14919,CORBETT,Ave
748 Calvert,04002858.,Homrich,24984.35,HHF,11/27/2018,No,5,Gateway Community,42.387574,-83.091952,"location
(42.387574, -83.091952)",,748,CALVERT,St
21180 Margareta,22015745.,DMC Consultants,16850.00,Non-HHF,11/27/2018,No,1,Holcomb Community,42.425554,-83.251211,"location
(42.425554, -83.251211)",,21180,MARGARETA,St
14962 Wilfred,21010796.,Salenbien Trucking & Excavating Inc.,14881.13,HHF,11/26/2018,No,4,Outer Drive-Hayes,42.418972,-82.96613,"location
(42.418972, -82.96613)",,14962,WILFRED,St
546 Rosedale Ct,03002849.,Homrich,23623.36,HHF,11/26/2018,No,5,Gateway Community,42.39342,-83.080325,"location
(42.39342, -83.080325)",,546,ROSEDALE CT,Ct
8491 Fielding,22103422.,Rickman Enterprise Group,16092.61,HHF,11/26/2018,No,7,Warrendale,42.35517,-83.241085,"location
(42.35517, -83.241085)",,8491,FIELDING,St
12782 Maiden,21006443.,Salenbien Trucking & Excavating Inc.,16218.13,HHF,11/26/2018,No,4,Wade,42.405112,-82.976389,"location
(42.405112, -82.976389)",,12782,MAIDEN,St
12801 Chelsea,21008195.,Salenbien Trucking & Excavating Inc.,18163.13,HHF,11/26/2018,No,4,Wade,42.409248,-82.978647,"location
(42.409248, -82.978647)",,12801,CHELSEA,Ave
8655 Fielding,22103411.,Rickman Enterprise Group,15379.62,HHF,11/26/2018,No,7,Warrendale,42.356405,-83.241123,"location
(42.356405, -83.241123)",,8655,FIELDING,St
260 Rosedale Ct,01003440-1,Homrich,18362.36,HHF,11/26/2018,No,5,Gateway Community,42.392425,-83.082952,"location
(42.392425, -83.082952)",,260,ROSEDALE CT,Ct
8113 Fielding,22103452.,Rickman Enterprise Group,15867.61,HHF,11/26/2018,No,7,Warrendale,42.351923,-83.240953,"location
(42.351923, -83.240953)",,8113,FIELDING,St
572 Harmon,03002795.,Homrich,32168.36,HHF,11/21/2018,No,5,Gateway Community,42.392788,-83.079278,"location
(42.392788, -83.079278)",,572,HARMON,St
19136 Runyon,17014616.,Leadhead Construction,16150.00,Non-HHF,11/21/2018,No,3,Pulaski,42.434987,-83.006546,"location
(42.434987, -83.006546)",,19136,RUNYON,St
9270 Bedford,21070873.,DMC Consultants,27370.00,HHF,11/21/2018,No,4,Outer Drive-Hayes,42.412078,-82.947926,"location
(42.412078, -82.947926)",,9270,BEDFORD,St
9323 Bedford,21070883.,DMC Consultants,18623.00,HHF,11/21/2018,No,4,Outer Drive-Hayes,42.411992,-82.94906,"location
(42.411992, -82.94906)",,9323,BEDFORD,St
19332 Ferguson,22063419.,"Adamo Group, Inc.",18700.00,Non-HHF,11/21/2018,No,2,Greenfield,42.432861,-83.210432,"location
(42.432861, -83.210432)",,19332,FERGUSON,St
291 Woodland,01003658.,Homrich,22822.36,HHF,11/21/2018,No,5,Gateway Community,42.394694,-83.083898,"location
(42.394694, -83.083898)",,291,WOODLAND,St
8200 Stout,22100986.001,Rickman Enterprise Group,18876.61,HHF,11/21/2018,No,7,Warrendale,42.352206,-83.239036,"location
(42.352206, -83.239036)",,8200,STOUT,St
8506 Fielding,22102290.,Rickman Enterprise Group,18635.61,HHF,11/21/2018,No,7,Warrendale,42.355402,-83.240374,"location
(42.355402, -83.240374)",,8506,FIELDING,St
7016 Michigan Ave,18002418.,Gayanga Co,64000.00,Non-HHF,11/20/2018,Yes,6,Claytown,42.331385,-83.130973,"location
(42.331385, -83.130973)",,7016,MICHIGAN AVE,Ave
9224 Stout,22101022-3,Rickman Enterprise Group,18275.62,HHF,11/20/2018,No,7,Franklin Park,42.361672,-83.239273,"location
(42.361672, -83.239273)",,9224,STOUT,St
7100 Arcola,15002582-3,"Adamo Group, Inc.",18700.00,Non-HHF,11/20/2018,No,3,Airport Sub,42.405519,-83.027937,"location
(42.405519, -83.027937)",,7100,ARCOLA,St
8911 Stout,22102046.,Rickman Enterprise Group,15963.62,HHF,11/20/2018,No,7,Franklin Park,42.359141,-83.239962,"location
(42.359141, -83.239962)",,8911,STOUT,St
12081 Maiden,21006613.,Salenbien Trucking & Excavating Inc.,20320.13,HHF,11/20/2018,No,4,Wade,42.402655,-82.985049,"location
(42.402655, -82.985049)",,12081,MAIDEN,St
12605 Evanston,21005195.,Salenbien Trucking & Excavating Inc.,15958.13,HHF,11/20/2018,No,4,Ravendale,42.402003,-82.9772,"location
(42.402003, -82.9772)",,12605,EVANSTON,St
9745 Hayes,21056722-3,Salenbien Trucking & Excavating Inc.,16310.18,HHF,11/20/2018,No,4,Outer Drive-Hayes,42.411028,-82.964991,"location
(42.411028, -82.964991)",,9745,HAYES,St
6165 Woodhall,21076012.,DMC Consultants,11316.00,HHF,11/20/2018,No,4,Cornerstone Village,42.416378,-82.932332,"location
(42.416378, -82.932332)",,6165,WOODHALL,St
13302 Camden,21005711.,Salenbien Trucking & Excavating Inc.,26936.63,HHF,11/20/2018,No,4,Outer Drive-Hayes,42.4051,-82.971313,"location
(42.4051, -82.971313)",,13302,CAMDEN,Ave
6344 Woodhall,21075968.,DMC Consultants,16152.00,HHF,11/20/2018,No,4,Cornerstone Village,42.418019,-82.932686,"location
(42.418019, -82.932686)",,6344,WOODHALL,St
12500 Wade,21006117.,Salenbien Trucking & Excavating Inc.,20725.13,HHF,11/20/2018,No,4,Ravendale,42.403008,-82.979984,"location
(42.403008, -82.979984)",,12500,WADE,St
8855 Heyden,22099940.,Rickman Enterprise Group,14948.62,HHF,11/20/2018,No,7,Franklin Park,42.358393,-83.238754,"location
(42.358393, -83.238754)",,8855,HEYDEN,St
7774 Dayton,20009916.,Able Demolition,17823.14,HHF,11/20/2018,No,6,Claytown,42.340258,-83.146098,"location
(42.340258, -83.146098)",,7774,DAYTON,St
9003 Vaughan,22098547.,Rickman Enterprise Group,13462.62,HHF,11/20/2018,No,7,Franklin Park,42.359447,-83.237569,"location
(42.359447, -83.237569)",,9003,VAUGHAN,St
9264 Pierson,22106258.,Rickman Enterprise Group,18590.62,HHF,11/19/2018,No,7,Franklin Park,42.362357,-83.24422,"location
(42.362357, -83.24422)",,9264,PIERSON,St
6092 Beniteau,21043341.,Salenbien Trucking & Excavating Inc.,24795.13,HHF,11/19/2018,No,4,Airport Sub,42.395895,-82.990438,"location
(42.395895, -82.990438)",,6092,BENITEAU,St
5929 St Hedwig,16001409.,Blue Star,18382.36,HHF,11/19/2018,No,6,Central Southwest,42.326412,-83.112991,"location
(42.326412, -83.112991)",,5929,ST HEDWIG,
5943 Guilford,21075759-60,DMC Consultants,14618.00,HHF,11/19/2018,No,4,Cornerstone Village,42.41409,-82.932033,"location
(42.41409, -82.932033)",,5943,GUILFORD,St
641 Westminster,03002653.,Homrich,42753.35,HHF,11/19/2018,No,5,North End,42.388707,-83.075068,"location
(42.388707, -83.075068)",,641,WESTMINSTER,St
10428 Sterritt,19002062.,Salenbien Trucking & Excavating Inc.,21327.13,HHF,11/19/2018,No,3,Airport Sub,42.395079,-83.000398,"location
(42.395079, -83.000398)",,10428,STERRITT,St
16540 Plymouth,22005852.,Dore & Associates,43900.00,Non-HHF,11/19/2018,Yes,7,Plymouth-I96,42.372664,-83.209316,"location
(42.372664, -83.209316)",,16540,PLYMOUTH,Rd
9409 Birwood,18016990.,Able Demolition,24038.00,Non-HHF,11/19/2018,No,7,Barton-McFarland,42.365474,-83.163372,"location
(42.365474, -83.163372)",,9409,BIRWOOD,St
12631 Maiden,21006663-4,Salenbien Trucking & Excavating Inc.,15006.13,HHF,11/19/2018,No,4,Wade,42.404881,-82.978594,"location
(42.404881, -82.978594)",,12631,MAIDEN,St
12046 Maiden,21006513.,Salenbien Trucking & Excavating Inc.,21762.63,HHF,11/19/2018,No,4,Wade,42.402059,-82.985407,"location
(42.402059, -82.985407)",,12046,MAIDEN,St
6626 Sanger,18013832.,Able Demolition,14948.00,Non-HHF,11/19/2018,No,6,Claytown,42.341849,-83.148327,"location
(42.341849, -83.148327)",,6626,SANGER,Ave
9578 Vaughan,22097497.,Rickman Enterprise Group,17933.62,HHF,11/19/2018,No,7,Franklin Park,42.365895,-83.236934,"location
(42.365895, -83.236934)",,9578,VAUGHAN,St
5309 Drexel,21050784.,Salenbien Trucking & Excavating Inc.,37343.63,HHF,11/19/2018,No,4,Chandler Park,42.396128,-82.967464,"location
(42.396128, -82.967464)",,5309,DREXEL,St
13301 Camden,21005955.,Salenbien Trucking & Excavating Inc.,23616.13,HHF,11/19/2018,No,4,Outer Drive-Hayes,42.405546,-82.971545,"location
(42.405546, -82.971545)",,13301,CAMDEN,Ave
587 Englewood,03002921.,Homrich,23046.36,HHF,11/19/2018,No,5,Gateway Community,42.394952,-83.080485,"location
(42.394952, -83.080485)",,587,ENGLEWOOD,St
6000 Woodhall,21075950.,DMC Consultants,23037.00,HHF,11/19/2018,No,4,Cornerstone Village,42.415455,-82.931013,"location
(42.415455, -82.931013)",,6000,WOODHALL,St
6300 Guilford,21075718.,DMC Consultants,13380.00,HHF,11/16/2018,No,4,Cornerstone Village,42.417162,-82.933328,"location
(42.417162, -82.933328)",,6300,GUILFORD,St
2940 Livernois,16017090.,Able Demolition,23028.00,Non-HHF,11/16/2018,No,6,Central Southwest,42.323543,-83.114356,"location
(42.323543, -83.114356)",,2940,LIVERNOIS,Ave
557 Englewood,03002916.,Homrich,17956.36,HHF,11/16/2018,No,5,Gateway Community,42.394765,-83.080979,"location
(42.394765, -83.080979)",,557,ENGLEWOOD,St
5792 Cadillac,19005142.,Salenbien Trucking & Excavating Inc.,13279.13,HHF,11/16/2018,No,4,West End,42.38876,-83.000724,"location
(42.38876, -83.000724)",,5792,CADILLAC,Ave
63 Woodland,01003635.,Homrich,23162.35,HHF,11/16/2018,No,5,Gateway Community,42.393391,-83.087331,"location
(42.393391, -83.087331)",,63,WOODLAND,St
